电影名,评分,评价人数,链接,时间,演员,imdb_link
鬼乱5,7.2,19330.0,https://movie.douban.com/subject/4122701/,2009-09-09 00:00:00,"['哲拉予·拉翁马尼', '雷·麦克唐纳', 'Chumphorn Thepphithak', 'A",http://www.imdb.com/title/tt1521846
鬼吹灯之精绝古城,8.5,27858.0,https://movie.douban.com/subject/26298935/,2016-12-19(中国大陆),"['靳东', '陈乔恩', '赵达', '付枚', '金泽灏']",http://www.imdb.com/title/tt6413278
鬼夫,7,11721.0,https://movie.douban.com/subject/21871405/,2013-03-28(泰国),"['马里奥·毛瑞尔', '黛薇卡・霍内', 'Nattapong Chartpong', 'Pong",http://www.imdb.com/title/tt2776344
鬼妈妈,8,98016.0,https://movie.douban.com/subject/1919245/,2009-02-06(美国),"['达科塔·范宁', '泰瑞·海切尔', '珍妮弗·桑德斯', '唐·弗兰奇', '小罗伯特·拜利'",http://www.imdb.com/title/tt0327597
鬼娃娃花子,6.1,10946.0,https://movie.douban.com/subject/1482366/,1995-07-01(日本),"['河野由佳', '井上孝幸', '前田爱', '大塚宁宁', '丰川悦司']",http://www.imdb.com/title/tt0114688
鬼子来了,9.1,200104.0,https://movie.douban.com/subject/1291858/,2000-05-12(戛纳电影节),"['2002-04-27(日本)', '姜文', '香川照之', '袁丁', '姜宏波']",http://www.imdb.com/title/tt0245929
鬼宿舍,7.6,17260.0,https://movie.douban.com/subject/3023155/,2006-02-02 00:00:00,"['查理·哲华', 'Chintara Sukapatana', 'Sirachuch Chient",http://www.imdb.com/title/tt0495824
鬼影,7.7,45096.0,https://movie.douban.com/subject/1773217/,2004-09-09(泰国),"['Achita Sikamana', '阿南达·爱华灵咸', '娜特慧兰', '泰国', '班庄·",http://www.imdb.com/title/tt0440803
鬼灯的冷彻,8.6,17067.0,https://movie.douban.com/subject/24843604/,2014-01-09(日本),"['安元洋贵', '长嶝高士', '平川大辅', '小林由美子', '游佐浩二']",http://www.imdb.com/title/tt3306838
鬼马狂想曲,5.9,19034.0,https://movie.douban.com/subject/1308743/,2004-01-15(香港),"['刘青云', '古天乐', '陈小春', '张柏芝', '钟丽缇']",http://www.imdb.com/title/tt0401410
魂断蓝桥,8.8,116627.0,https://movie.douban.com/subject/1293964/,1940-05-17(美国),"['费雯·丽', '罗伯特·泰勒', '露塞尔·沃特森', '弗吉尼亚·菲尔德', '玛丽亚·彭斯卡",http://www.imdb.com/title/tt0033238
魔力月光,7.1,22519.0,https://movie.douban.com/subject/24470523/,2014-07-25(美国),"['艾玛·斯通', '科林·费尔斯', '马西娅·盖伊·哈登', '杰基·韦佛', '哈米什·林克莱",http://www.imdb.com/title/tt2870756
魔发奇缘,8.1,107564.0,https://movie.douban.com/subject/1863766/,2010-11-24(美国),"['曼迪·摩尔', '扎克瑞·莱维', '唐纳·墨菲', '朗·普尔曼', '德莱尼·罗斯·斯坦']",http://www.imdb.com/title/tt0398286
魔女嘉莉,7.3,15259.0,https://movie.douban.com/subject/1292664/,1976-11-03 00:00:00,"['茜茜·斯派塞克', '派珀·劳瑞', '艾米·欧文', '威廉姆·卡特', '贝蒂·巴克利']",http://www.imdb.com/title/tt0074285
魔女宅急便,8.4,166248.0,https://movie.douban.com/subject/1307811/,1989-07-29(日本),"['高山南', '佐久间玲', '山口胜平', '户田惠子', '信泽三惠子']",http://www.imdb.com/title/tt0097814
魔屋,6.6,10372.0,https://movie.douban.com/subject/2977357/,2009-03-13 00:00:00,"['加瑞特·迪拉胡特', '迈克尔·鲍文', 'Joshua Cox', '瑞琪·琳德赫姆', '亚",http://www.imdb.com/title/tt0844708
魔幻时刻,8.2,16185.0,https://movie.douban.com/subject/2157507/,2008-06-07 00:00:00,"['佐藤浩市', '妻夫木聪', '深津绘里', '绫濑遥', '西田敏行']",http://www.imdb.com/title/tt1077089
魔弦传说,7.6,21235.0,https://movie.douban.com/subject/26287884/,2016-08-19(美国),"['2017-01-13(中国大陆)', '查理兹·塞隆', '阿特·帕金森', '拉尔夫·费因斯'",http://www.imdb.com/title/tt4302938
魔方大厦,8.7,28288.0,https://movie.douban.com/subject/2156754/,中国大陆,"['查侃', '18分钟', '儿童', '动画', '奇幻']",
魔术师,8.7,45888.0,https://movie.douban.com/subject/1921583/,2010-06-16(法国),"['2010-12-25(美国-limited)', 'Jean-Claude Donda', 'E",http://www.imdb.com/title/tt0775489
魔术师和兔子,8.8,39511.0,https://movie.douban.com/subject/3111355/,2008-06-10(安纳西动画电影节),"['美国', 'Doug Sweetland', '5分钟', '魔术师和兔子', '喜剧']",http://www.imdb.com/title/tt1245104
魔法保姆麦克菲,7.4,32086.0,https://movie.douban.com/subject/1428877/,2005-10-21(英国),"['艾玛·汤普森', '科林·费尔斯', '凯莉·麦克唐纳', '托马斯·布罗迪-桑斯特', '伊丽",http://www.imdb.com/title/tt0396752
魔法保姆麦克菲2,7.4,18823.0,https://movie.douban.com/subject/3671986/,2010-03-26 00:00:00,"['拉尔夫·费因斯', '艾玛·汤普森', '玛吉·吉伦哈尔', '瑞斯·伊凡斯', '阿萨·巴特菲",http://www.imdb.com/title/tt1415283
魔法奇缘,7.1,38104.0,https://movie.douban.com/subject/1971111/,2007-11-21(美国),"['帕特里克·德姆西', '艾米·亚当斯', '苏珊·萨兰登', '詹姆斯·麦斯登', '蒂莫西·斯",http://www.imdb.com/title/tt0461770
魔王,8.1,13595.0,https://movie.douban.com/subject/3196686/,2008-07-04(日本),"['大野智', '生田斗真', '小林凉子', '田中圭', '忍成修吾']",http://www.imdb.com/title/tt1284603
魔警,5.9,42782.0,https://movie.douban.com/subject/20515977/,2014-02-08(柏林电影节),"['2014-04-18(中国大陆/香港)', '吴彦祖', '张家辉', '思漩', '安志杰']",http://www.imdb.com/title/tt3511542
魔鬼代言人,8.2,53516.0,https://movie.douban.com/subject/1298909/,1997-10-17 00:00:00,"['基努·里维斯', '阿尔·帕西诺', '查理兹·塞隆', '杰弗瑞·琼斯', 'Judith I",http://www.imdb.com/title/tt0118971
鱼,6.6,13619.0,https://movie.douban.com/subject/6008287/,2012-02-15(日本),"['片岡未来', '谷口亜実', '佐伯まさみ', '根岸拓馬', '日本']",http://www.imdb.com/title/tt1857718
鱼缸,7.4,21968.0,https://movie.douban.com/subject/3073875/,2009-09-11(英国),"['凯蒂·贾维斯', '迈克尔·法斯宾德', '凯利斯顿·韦勒英', 'Rebecca Griffi",http://www.imdb.com/title/tt1232776
鲁邦三世VS名侦探柯南,7.2,15809.0,https://movie.douban.com/subject/3612790/,2009-03-27 00:00:00,"['栗田贯一', '高山南', '小林清志', '山崎和佳奈', '堀江由衣']",http://www.imdb.com/title/tt1397219
鲁邦三世：卡里奥斯特罗城,8,10162.0,https://movie.douban.com/subject/1432436/,1979-12-15(日本),"['山田康雄', '增山江威子', '小林清志', '井上真树夫', '纳谷悟郎']",http://www.imdb.com/title/tt0079833
鲨滩,7.1,47561.0,https://movie.douban.com/subject/26000205/,2016-06-24(美国),"['2016-09-09(中国大陆)', '布蕾克·莱弗利', '奥斯卡·贾恩那达', '布莱特·卡",http://www.imdb.com/title/tt4052882
鸟人,7.9,129975.0,https://movie.douban.com/subject/20438962/,2014-08-27(威尼斯电影节),"['2014-11-14(美国)', '迈克尔·基顿', '爱德华·诺顿', '艾玛·斯通', '扎",http://www.imdb.com/title/tt2562232
鸟！鸟！鸟！,8.7,53472.0,https://movie.douban.com/subject/1470600/,2000-06-05(法国安锡国际动画电影节),"['拉夫·埃格尔斯顿', '美国', '拉夫·埃格尔斯顿', '3 分钟', '鸟！鸟！鸟！']",http://www.imdb.com/title/tt0248808
鸡皮疙瘩,6.1,11040.0,https://movie.douban.com/subject/2364051/,2015-10-16(美国),"['杰克·布莱克', '迪兰·明奈特', '奥德娅·拉什', '艾米·莱安', '瑞恩·李']",http://www.imdb.com/title/tt1051904
鸣梁海战,7,29630.0,https://movie.douban.com/subject/7065161/,2014-07-30(韩国),"['2014-12-12(中国大陆)', '崔岷植', '柳承龙', '赵震雄', '晋久']",http://www.imdb.com/title/tt3541262
鹬,9.2,25535.0,https://movie.douban.com/subject/26766869/,2016-06-17(美国),"['美国', '艾伦·巴利拉罗', '6分03秒', '鹬', '动画']",http://www.imdb.com/title/tt5613056
鹰眼,7.1,32955.0,https://movie.douban.com/subject/2264715/,2008-09-26(美国),"['2008-10-09(德国)', '希亚·拉博夫', '罗莎里奥·道森', '米歇尔·莫纳汉',",http://www.imdb.com/title/tt1059786
鹿鼎记,7.8,122295.0,https://movie.douban.com/subject/1297223/,1992-07-30 00:00:00,"['周星驰', '吴孟达', '张敏', '吴君如', '邱淑贞']",http://www.imdb.com/title/tt0104770
鹿鼎记2：神龙教,7.6,78954.0,https://movie.douban.com/subject/1306951/,1992-09-24(香港),"['周星驰', '邱淑贞', '林青霞', '李嘉欣', '陈百祥']",http://www.imdb.com/title/tt0104771
麒麟之翼新参者剧场版,7.1,10836.0,https://movie.douban.com/subject/6402464/,2012-01-28(日本),"['阿部宽', '沟端淳平', '田中丽奈', '山崎努', '新垣结衣']",http://www.imdb.com/title/tt1946285
麦兜响当当,7.4,77832.0,https://movie.douban.com/subject/2277018/,2017-01(中国大陆),"['2009-07-24(中国大陆)', '黄渤', '黄秋生', '吴君如', '宋丹丹']",http://www.imdb.com/title/tt1430622
麦兜当当伴我心,8.4,72515.0,https://movie.douban.com/subject/10772258/,2012-07-10(中国大陆),"['2012-08-16(香港)', '黄秋生', '吴君如', '胡歌', '郑中基']",http://www.imdb.com/title/tt2275080
麦兜我和我妈妈,8.3,37238.0,https://movie.douban.com/subject/25884416/,2014-10-01(中国大陆/香港),"['黄磊', '吴君如', '张正中', '黄秋生', '蔡明丽']",http://www.imdb.com/title/tt4179512
麦兜故事,8.5,114241.0,https://movie.douban.com/subject/1302476/,2001-12-15 00:00:00,"['李晋纬', '林海峰', '吴君如', '黄秋生', 'Buxx Banner']",http://www.imdb.com/title/tt0312941
麻将,8.5,18569.0,https://movie.douban.com/subject/1297418/,1996-12-07 00:00:00,"['柯宇纶', '张震', '林海象', '唐从圣', '维吉妮·拉朵嫣']",http://www.imdb.com/title/tt0116962
黄昏的清兵卫,8.7,14107.0,https://movie.douban.com/subject/1307306/,2002-11-02(日本),"['宫泽理惠', '真田广之', '大杉涟', '日本', '山田洋次']",http://www.imdb.com/title/tt0351817
黄海,8.3,67016.0,https://movie.douban.com/subject/3743114/,2010-12-22(韩国),"['河正宇', '金允石', '郑满植', '李哲民 ', '李艾']",http://www.imdb.com/title/tt1230385
黄金三镖客,9.1,42655.0,https://movie.douban.com/subject/1401118/,1966-12-23 00:00:00,"['克林特·伊斯特伍德', '埃里·瓦拉赫', '李·范·克里夫', '阿尔多·久弗瑞', '路易吉",http://www.imdb.com/title/tt0060196
黄金大劫案,6.8,124568.0,https://movie.douban.com/subject/6080775/,2012-04-24(中国大陆),"['雷佳音', '陶虹', '程媛媛', '山崎敬一', '郭涛']",http://www.imdb.com/title/tt2393829
黄金时代,7.1,88330.0,https://movie.douban.com/subject/10545939/,2014-09-06(威尼斯电影节),"['2014-10-01(中国大陆/香港)', '汤唯', '冯绍峰', '王志文', '朱亚文']",http://www.imdb.com/title/tt3696086
黄飞鸿之铁鸡斗蜈蚣,6.8,18032.0,https://movie.douban.com/subject/1305201/,1993-04-01(香港),"['李连杰', '陈百祥', '袁咏仪', '张敏', '张卫健']",http://www.imdb.com/title/tt0108593
黎明之前,9.2,21090.0,https://movie.douban.com/subject/4894070/,2010-06-10(中国大陆),"['吴秀波', '林永健', '陆剑民', '田小洁', '张晞临']",http://www.imdb.com/title/tt4793812
黑之契约者,8.6,16428.0,https://movie.douban.com/subject/2052059/,2007-04-05(日本),"['木内秀信', '福圆美里', '泽木郁也', '池田胜', '水树奈奈']",http://www.imdb.com/title/tt0995941
黑侠,6.7,17659.0,https://movie.douban.com/subject/1295746/,1996-11-09 00:00:00,"['李连杰', '刘青云', '莫文蔚', '叶芳华', '黄秋生']",http://www.imdb.com/title/tt0115693
黑塔利亚,8.6,19485.0,https://movie.douban.com/subject/3437176/,2009-01-24(日本),"['浪川大辅', '安元洋贵', '高桥广树', '甲斐田雪', '小西克幸']",http://www.imdb.com/title/tt1356878
黑处有什么,6.6,20413.0,https://movie.douban.com/subject/26433966/,2015-07-23(FIRST青年电影展),"['2016-10-14(中国大陆)', '苏晓彤', '郭笑', '陆琦蔚', '刘丹']",http://www.imdb.com/title/tt5131124
黑夜传说,7.4,60699.0,https://movie.douban.com/subject/1307527/,2003-09-08(多伦多电影节),"['凯特·贝金赛尔', '斯科特·斯比德曼', '山恩·布罗利', '麦克·辛', '比尔·奈伊']",http://www.imdb.com/title/tt0320691
黑夜传说2：进化,7.2,46116.0,https://movie.douban.com/subject/1422920/,2006-01-20(美国),"['凯特·贝金赛尔', '斯科特·斯比德曼', '托尼·库兰', '德里克·雅各比', '比尔·奈伊",http://www.imdb.com/title/tt0401855
黑夜传说4：觉醒,6.6,32925.0,https://movie.douban.com/subject/3990098/,2012-01-20(美国),"['凯特·贝金赛尔', ' 英迪娅·埃斯利', '迈克尔·伊雷', '克里斯·霍尔登-里德', '何",http://www.imdb.com/title/tt1496025
黑夜传说前传：狼族再起,6.7,30050.0,https://movie.douban.com/subject/2132941/,2009-01-23(美国),"['麦克·辛', '比尔·奈伊', '罗娜·迈特拉', '斯蒂文·麦金托什', 'Kevin Gre",http://www.imdb.com/title/tt0834001
黑天鹅,8.5,373753.0,https://movie.douban.com/subject/1978709/,2010-12-17(美国),"['2010-09-01(威尼斯电影节)', '娜塔莉·波特曼', '米拉·库尼斯', '薇诺娜·瑞",http://www.imdb.com/title/tt0947798
黑客帝国,8.8,248096.0,https://movie.douban.com/subject/1291843/,1999-03-31(美国),"['基努·里维斯', '凯瑞-安·莫斯', '劳伦斯·菲什伯恩', '雨果·维文', '格洛丽亚·福",http://www.imdb.com/title/tt0133093
黑客帝国2：重装上阵,8.3,125636.0,https://movie.douban.com/subject/1304141/,2003-05-07(美国首映),"['2003-07-18(中国大陆)', '基努·里维斯', '凯瑞-安·莫斯', '劳伦斯·菲什伯",http://www.imdb.com/title/tt0234215
黑客帝国3：矩阵革命,8.5,132896.0,https://movie.douban.com/subject/1302467/,2003-11-05(美国/中国大陆),"['基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '莫妮卡·贝鲁奇', '凯特·宾",http://www.imdb.com/title/tt0242653
黑店狂想曲,8.1,28742.0,https://movie.douban.com/subject/1306666/,1991-04-17(法国),"['多米尼克·皮诺', 'Marie-Laure Dougnac', '让-克劳德·德鲁菲斯', '",http://www.imdb.com/title/tt0101700
黑暗中的舞者,8.3,61294.0,https://movie.douban.com/subject/1291562/,2000-09-08 00:00:00,"['比约克', '凯瑟琳·德纳芙', '大卫·摩斯', '彼得·斯特曼', '乌多·奇尔']",http://www.imdb.com/title/tt0168629
黑暗侵袭,7.5,53825.0,https://movie.douban.com/subject/1437109/,2005-07-08(英国),"['肖娜·麦克唐纳', '娜塔莉·杰克逊·门多萨', '阿里克斯·瑞德', '萨斯基亚·马尔德', ",http://www.imdb.com/title/tt0435625
黑暗侵袭2,6.7,23333.0,https://movie.douban.com/subject/3066083/,2009-08-31 00:00:00,"['Michael J. Reynolds', '肖娜·麦克唐纳', 'Jessika Willia",http://www.imdb.com/title/tt1073105
黑暗阴影,6.3,41694.0,https://movie.douban.com/subject/2227293/,2012-05-09(法国),"['2012-05-11(美国/台湾)', '约翰尼·德普', '伊娃·格林', '米歇尔·菲佛',",http://www.imdb.com/title/tt1077368
黑暗面,8.1,62625.0,https://movie.douban.com/subject/6536180/,2011-09-16(西班牙),"['奎姆·古铁雷兹', '克拉拉·拉戈', '玛蒂娜·加西亚', '哥伦比亚', '西班牙']",http://www.imdb.com/title/tt1772250
黑洞,8.2,11697.0,https://movie.douban.com/subject/2216379/,陈道明,"['陶泽如', '丁嘉丽', '董勇', '陶红', '袁莉']",
黑洞频率,8.3,52530.0,https://movie.douban.com/subject/1294183/,2000-04-28(美国),"['丹尼斯·奎德', '吉姆·卡维泽', '肖恩·多伊尔', '伊丽莎白·米切尔', '诺亚·艾默里",http://www.imdb.com/title/tt0186151
黑猫警长,8.3,45417.0,https://movie.douban.com/subject/1860377/,中国大陆,"['戴铁郎', '范马迪', '熊南清', '20分钟', '动画']",
黑白森林,6.5,16180.0,https://movie.douban.com/subject/1308034/,2003-06-20(香港),"['黄秋生', '刘青云', '陈小春', '吴镇宇', '钟欣潼']",http://www.imdb.com/title/tt0375669
黑皮书,8.2,39756.0,https://movie.douban.com/subject/1858802/,2006-09-01(威尼斯电影节),"['2006-09-14(荷兰)', '2009-02-03(中国大陆)', '卡里斯·范·侯登',",http://www.imdb.com/title/tt0389557
黑社会,7.8,56679.0,https://movie.douban.com/subject/1309220/,2005-10-20(香港),"['任达华', '梁家辉', '古天乐', '林雪', '张家辉']",http://www.imdb.com/title/tt0434008
黑社会2：以和为贵,7.6,44414.0,https://movie.douban.com/subject/1484760/,2006-04-27(香港),"['古天乐', '任达华', '张家辉', '林家栋', '王天林']",http://www.imdb.com/title/tt0491244
黑色大丽花,6.5,24682.0,https://movie.douban.com/subject/1578669/,2006-09-15(美国),"['乔什·哈奈特', '斯嘉丽·约翰逊', '艾伦·艾克哈特', '希拉里·斯万克', '米娅·科施",http://www.imdb.com/title/tt0387877
黑色弥撒,6.4,10080.0,https://movie.douban.com/subject/3432861/,2015-09-04(威尼斯电影节),"['2015-09-18(美国)', '约翰尼·德普', '乔尔·埃哲顿', '本尼迪克特·康伯巴奇",http://www.imdb.com/title/tt1355683
黑色皮革手册,8.5,10102.0,https://movie.douban.com/subject/1998630/,2004-10-14(日本),"['米仓凉子', '仲村亨', '释由美子', '渡边一计', '紫吹淳']",http://www.imdb.com/title/tt0923287
黑衣人,7.9,145425.0,https://movie.douban.com/subject/1301445/,1997-07-02(美国),"['威尔·史密斯', '汤米·李·琼斯', '琳达·费奥伦蒂诺', '文森特·多诺费奥', '雷普·",http://www.imdb.com/title/tt0119654
黑衣人2,7.5,107796.0,https://movie.douban.com/subject/1295280/,2002-07-03 00:00:00,"['威尔·史密斯', '汤米·李·琼斯', '约翰尼·诺克斯维尔', '罗莎里奥·道森', '雷普·",http://www.imdb.com/title/tt0120912
黑衣人3,7.5,167576.0,https://movie.douban.com/subject/3642835/,2012-05-25(美国/中国大陆),"['威尔·史密斯', '汤米·李·琼斯', '乔什·布洛林', '杰梅奈·克莱门特', '艾玛·汤普",http://www.imdb.com/title/tt1409024
黑衣女人,5.8,14623.0,https://movie.douban.com/subject/5156706/,2012-02-03(美国),"['2012-09-20(中国大陆)', '丹尼尔·雷德克里夫', '塞伦·希德', '珍妮·麦克蒂",http://www.imdb.com/title/tt1596365
黑金,7.6,22505.0,https://movie.douban.com/subject/1292962/,1997-12-23(香港),"['刘德华', '梁家辉', '孙佳君', '吴辰君', '郭静纯']",http://www.imdb.com/title/tt0156588
黑镜第一季,9.3,176768.0,https://movie.douban.com/subject/7054120/,2011-12-04(英国),"['罗里·金奈尔', '鲁伯特·艾弗雷特', '丹尼尔·卡卢亚', '托比·凯贝尔', '杰西卡·布",http://www.imdb.com/title/tt2085059
黑镜第三季,8.7,50701.0,https://movie.douban.com/subject/25966044/,2016-10-21(美国),"['古古·姆巴塔-劳', '麦肯兹·戴维斯', '布莱丝·达拉斯·霍华德', '凯莉·麦克唐纳', ",http://www.imdb.com/title/tt5497778
黑镜第二季,9.1,104278.0,https://movie.douban.com/subject/11502153/,2013-02-11(英国),"['海莉·阿特维尔', '多姆纳尔·格里森', '塔彭丝·米德尔顿', '勒诺拉·克里奇洛', '丹",http://www.imdb.com/title/tt2290780
黑镜：圣诞特别篇,9.1,53405.0,https://movie.douban.com/subject/25964630/,2014-12-16(英国),"['乔恩·哈姆', '拉菲·斯波', '奥娜·卓别林', '娜塔丽·特纳', '詹妮特·蒙哥马利']",http://www.imdb.com/title/tt3973198
鼠来宝,7.3,35387.0,https://movie.douban.com/subject/2139553/,2007-12-14(美国),"['杰森·李', '大卫·克罗斯', '卡梅隆·理查德森', '贾斯汀·朗', 'Kevin Sym",http://www.imdb.com/title/tt0952640
鼠来宝：明星俱乐部,6.8,16409.0,https://movie.douban.com/subject/3071461/,2009-12-23(美国),"['2010-02-08(中国大陆)', '贾斯汀·朗', '安娜·法瑞丝', '马修·格雷·古柏勒",http://www.imdb.com/title/tt1231580
鼠胆龙威,7,17792.0,https://movie.douban.com/subject/1295106/,1995-07-01(香港),"['李连杰', '张学友', '邱淑贞', '曹查理', '周比利']",http://www.imdb.com/title/tt0114437
龙之吻,6.5,10573.0,https://movie.douban.com/subject/1299335/,2001-06-25 00:00:00,"['李连杰', '布里吉特·芳达', '切基·卡尤', '法国', '美国']",http://www.imdb.com/title/tt0271027
龙之战,4,13248.0,https://movie.douban.com/subject/2009342/,2007-08-01(韩国),"['2008-05-13(中国大陆)', '杰森·贝尔', '阿曼达·布鲁克斯', '罗伯特·福斯特",http://www.imdb.com/title/tt0372873
龙之谷：破晓奇兵,7.4,15682.0,https://movie.douban.com/subject/11443316/,2014-07-31(中国大陆),"['胡歌', '景甜', '徐娇', '夏梓桐', '沈达威']",http://www.imdb.com/title/tt2911342
龙争虎斗,8.1,10029.0,https://movie.douban.com/subject/1293118/,1973-07-26 00:00:00,"['李小龙', '石坚', '茅瑛', '吉米·凯利', '乔宏']",http://www.imdb.com/title/tt0070034
龙凤店,4.9,27444.0,https://movie.douban.com/subject/4735944/,2010-08-19(中国大陆),"['徐熙媛', '任贤齐', '霍思燕', '陈百祥', '罗家英']",http://www.imdb.com/title/tt1907717
龙凤斗,6.7,42995.0,https://movie.douban.com/subject/1308838/,2004-10-14(香港),"['刘德华', '郑秀文', '吴嘉龙', '林家栋', '胡燕妮']",http://www.imdb.com/title/tt0415872
龙樱,8.6,56660.0,https://movie.douban.com/subject/1915312/,2005-07-08(日本),"['阿部宽', '长谷川京子', '斋藤洋介', '山下智久', '长泽雅美']",http://www.imdb.com/title/tt0873992
龙猫,9.1,376502.0,https://movie.douban.com/subject/1291560/,1988-04-16(日本),"['日高法子', '坂本千夏', '岛本须美', '北林谷荣', '高木均']",http://www.imdb.com/title/tt0096283
龙的传人,6.9,23582.0,https://movie.douban.com/subject/1306057/,1991-03-07(香港),"['周星驰', '梁家仁', '毛舜筠', '元华', '李海生']",http://www.imdb.com/title/tt0100047
龙纹身的女孩,8,142888.0,https://movie.douban.com/subject/4206357/,2011-12-20(美国),"['丹尼尔·克雷格', '鲁妮·玛拉', '斯特兰·斯卡斯加德', '罗宾·怀特', '克里斯托弗·",http://www.imdb.com/title/tt1568346
龙虎少年队,6.8,24153.0,https://movie.douban.com/subject/3072889/,2012-03-16(美国),"['乔纳·希尔', '查宁·塔图姆', '约翰尼·西蒙斯', '戴夫·弗兰科', '罗伯·里格尔']",http://www.imdb.com/title/tt1232829
龙虎少年队2,6.8,17920.0,https://movie.douban.com/subject/10546666/,2014-06-13(美国),"['乔纳·希尔', '查宁·塔图姆', '彼得·斯特曼', '怀亚特·罗素', '艾波·斯蒂文斯']",http://www.imdb.com/title/tt2294449
龙虎门,5.7,43962.0,https://movie.douban.com/subject/1478926/,2006-07-28(中国大陆/香港),"['甄子丹', '谢霆锋', '余文乐', '董洁', '李小冉']",http://www.imdb.com/title/tt0482930
龙虾,7.5,48425.0,https://movie.douban.com/subject/20514947/,2015-05-15(戛纳电影节),"['2015-10-16(爱尔兰/英国)', '2015-10-22(希腊/荷兰)', '科林·法瑞",http://www.imdb.com/title/tt3464902
龙门镖局,7.4,42462.0,https://movie.douban.com/subject/11627047/,2013-07-30(中国大陆),"['郭京飞', '袁咏仪', '李倩', '张瑞涵', '钱芳']",
11:14:00,7.6,22723.0,https://movie.douban.com/subject/1394825/,2003-05-16(戛纳电影节),"['亨利·托马斯', '布莱克·赫伦', '芭芭拉·赫希', '克拉克·格雷格', '希拉里·斯万克",http://www.imdb.com/title/tt0331811
11度青春之《哎》,7.3,12468.0,https://movie.douban.com/subject/5265166/,2010-08-26 00:00:00,"['徐韬', '冯丹滢', '中国大陆', '尹丽川 ', '短片']",
11度青春之《老男孩》,8.5,203429.0,https://movie.douban.com/subject/5344178/,2010-10-28 00:00:00,"['肖央', '王太利', '韩秋池', '于蓓蓓', '张末']",
127小时,8.1,83385.0,https://movie.douban.com/subject/4164444/,2010-11-05(美国),"['詹姆斯·弗兰科', '丽兹·卡潘', '凯特·玛拉', '爱波·塔布琳', '克蕾曼丝·波西']",http://www.imdb.com/title/tt1542344
15名动画人,8.7,19153.0,https://movie.douban.com/subject/3240828/,2007-05-07(日本),"['寺崎裕香', '中川玲', '前田剛', '日本', 'www.nhk.or.jp/ani-ku",http://www.imdb.com/title/tt2171086
1公升的泪,8.9,64894.0,https://movie.douban.com/subject/1436900/,2005-10-11(日本),"['泽尻英龙华', '锦户亮', '药师丸博子', '藤木直人', '阵内孝则']",http://www.imdb.com/title/tt1370332
2008年第29届北京奥运会开幕式,8.8,22850.0,https://movie.douban.com/subject/3173528/,2008-08-08(中国大陆),"['蒂姆·达格特', 'Elfi Schlegel', 'Al Trautwig', '中国大陆',",http://www.imdb.com/title/tt1522814
27套礼服,6.7,55254.0,https://movie.douban.com/subject/2132120/,2008-01-18(美国),"['凯瑟琳·海格尔', '詹姆斯·麦斯登', '爱德华·伯恩斯', '玛琳·阿克曼', '朱迪·格雷",http://www.imdb.com/title/tt0988595
28岁未成年,6,12813.0,https://movie.douban.com/subject/26658568/,2016-12-09(中国大陆),"['倪妮', '霍建华', '马苏', '王大陆', '潘斌龙']",http://www.imdb.com/title/tt5665040
300勇士：帝国崛起,6.1,24918.0,https://movie.douban.com/subject/3148089/,2014-03-05(阿根廷首映),"['2014-03-07(美国)', '沙利文·斯特普尔顿', '罗德里格·桑托罗', '伊娃·格林",http://www.imdb.com/title/tt1253863
42号传奇,7.9,10411.0,https://movie.douban.com/subject/2133379/,2013-04-12(美国),"['哈里森·福特', '艾伦·图代克', '克里斯托弗·米洛尼', '约翰·C·麦金雷', '卢卡斯",http://www.imdb.com/title/tt0453562
5月天诺亚方舟,8.2,16030.0,https://movie.douban.com/subject/24891524/,2013-09-19(中国大陆),"['陈信宏', '刘冠佑', '言承旭', '林依晨', '林晖闵']",http://www.imdb.com/title/tt3263052
7号房的礼物,8.6,141607.0,https://movie.douban.com/subject/10777687/,2013-01-23(韩国),"['柳承龙', '朴信惠', '郑镇荣', '金正泰', '吴达洙']",http://www.imdb.com/title/tt2659414
80'后,7,64025.0,https://movie.douban.com/subject/4036000/,2010-06-25 00:00:00,"['刘冬', '黄明', '伊娜', '陶帅', '铁政']",http://www.imdb.com/title/tt1538533
8英里,8,39321.0,https://movie.douban.com/subject/1307853/,2002-11-08(美国),"['埃米纳姆', '金·贝辛格', '梅奇·费法', '布莱特妮·墨菲', '伊万·琼斯']",http://www.imdb.com/title/tt0298203
93航班,7.7,17410.0,https://movie.douban.com/subject/1588945/,2006-04-28(美国),"['J.J. Johnson', 'Gary Commock', 'Polly Adams', 'O",http://www.imdb.com/title/tt0475276
9号秘事第一季,8.8,26361.0,https://movie.douban.com/subject/20452350/,2014-02-05(英国),"['里斯·谢尔史密斯', '史蒂夫·佩姆伯顿', '露西·卡瓦利耶罗', '艾咪费欧‧爱德华兹', ",http://www.imdb.com/title/tt2674806
9号秘事第二季,8.8,12020.0,https://movie.douban.com/subject/26341777/,2015-03-26(英国),"['马克·本顿', '杰克·怀特霍尔', '史蒂夫·佩姆伯顿', '里斯·谢尔史密斯', '吉姆·霍",http://www.imdb.com/title/tt4513394
